FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
1,2023,2,743066,74130000,N/A,N/A,5500,C,F,F,F,F,74,Nassau,2,0.807,3.303,9,0,54,4.6,4016.6575,4016.65751868703
2,2023,1,037039,03175039,CR 886/GOLDEN GATE,RAMP# 03175038,8600,C,F,F,W,F,03,Collier,1,0,0.228,9,0,99.9,6.1,363.4945,363.494527437871
3,2023,1,030054,03550000,US 41,GOODLETTE-FRANK RD,3200,C,F,F,F,A,03,Collier,1,7.535,8.047,9,0,56,1.9,824.9604,824.960449816757
4,2023,7,029040,02500000,N FLORIDA AVE,N CARL G ROSE HWY,2300,X,F,F,F,F,02,Citrus,7,0,7.633,9.5,0,51.8,11.5,12284.8499,12284.8499478738
5,2023,1,030273,03000302,12TH AVE NE,N/A,3500,S,F,F,F,2,03,Collier,1,1.52,3.277,9.5,0,56,12.7,2816.7065,2816.70651587141
6,2023,6,878398,87000118,SR-976/SW 40 ST,SW 24 ST/CORAL WAY,10000,F,F,F,F,F,87,Miami-Dade,6,0,1.035,9,0,63.1,5.9,1666.1521,1666.15214502186
7,2023,2,749134,74600000,SR-A1A/SR-200,SR-A1A/SR-200,11100,C,F,F,F,F,74,Nassau,2,0.348,4.914,9,0,54,4.6,7378.2648,7378.26476675659
8,2023,6,878415,87000148,5 STREET,DADE BLVD,12700,F,F,F,F,F,87,Miami-Dade,6,0,1.255,9,0,63.1,3.7,2011.0807,2011.08066468359
9,2023,6,873050,87000171,SE 3 ST,NE 10 ST,12500,C,F,F,W,A,87,Miami-Dade,6,0,0.84,9,0,99.9,11.2,1334.3109,1334.31086869964
10,2023,6,877044,87000404,N/A,NE 2 AVE/ABEL HOLTZ,3600,F,F,F,W,1,87,Miami-Dade,6,0.904,2.024,9,0,99.9,6,1800.4526,1800.45262526035
11,2023,6,878518,87000439,NW 10 AVE/BOB HOPE R,NW 7  AVE,6600,C,F,F,F,F,87,Miami-Dade,6,0,0.257,9,0,63.1,4.8,410.7087,410.708678426017
12,2023,2,740015,74070001,SR-115,US-1/ US-23 / SR-15,10700,C,F,F,F,A,74,Nassau,2,0,0.036,9,0,54,4.7,57.4335,57.4334882772165
13,2023,1,037002,03175025,SR-29,I-75,2600,C,F,F,W,F,03,Collier,1,0,0.415,10.5,0,99.9,16.6,669.8778,669.877790983001
14,2023,7,020028,02050000,US41/SR45/44/S US 41,S SHAD TER,17500,C,F,F,F,A,02,Citrus,7,17.626,21.762,9,0,51.8,9.5,6658.7438,6658.74382567179
